"","SC249360.PC04924.C01","SC249360.PC07578.B09","SC249365.PC04924.H01","SC249365.PC07578.E09","SC249382.PC04924.D02","SC249382.PC07578.H05","SC249385.PC04924.G02","SC249385.PC07578.C07","SC249394.PC04924.G03","SC249398.PC04924.C04","SC249410.PC04924.E05","SC249410.PC04925.F02","SC249410.PC07578.B01","SC249417.PC04924.D06","SC249421.PC04924.H06","SC249421.PC07578.F02","SC249426.PC04924.D07","SC249426.PC04925.F03","SC249426.PC07578.F03","SC249433.PC04924.B08","SC249433.PC04925.C04","SC249433.PC07578.G08","SC249436.PC04924.E08","SC249436.PC04925.E04","SC249436.PC07578.E04","SC249447.PC04924.G09","SC249447.PC04925.C05","SC249452.PC04924.D10","SC253182.PC04925.H05","SC253182.PC07578.A01","SC253186.PC04925.D06","SC253186.PC07578.D06","SC253193.PC04925.C07","SC253200.PC04925.C08","SC253200.PC07578.C08","SC253845.PC04924.H10","SC253845.PC07578.C09","SC253846.PC04924.A11","SC253846.PC04925.D09","SC253846.PC07578.D09","SC261516.PC04925.H10","SC261516.PC07578.H10","SC261528.PC04925.E10","SC261528.PC07578.E11","SC304090.PC07578.G04","SC304940.PC07578.C03","SC249364.PC04925.C01","SC249369.PC07578.E01","SC249396.PC04924.A04","SC249396.PC04925.A02","SC249399.PC04924.D04","SC249401.PC04924.F04","SC249405.PC04924.A05","SC249405.PC04925.C02","SC249407.PC04924.B05","SC249411.PC04924.F05","SC249411.PC04925.G02","SC249411.PC07578.G02","SC249414.PC04924.A06","SC249414.PC04925.H02","SC249414.PC07578.H02","SC249418.PC04924.E06","SC249418.PC04925.B03","SC249419.PC04924.F06","SC249419.PC04925.C03","SC249424.PC04924.B07","SC249424.PC04925.E03","SC249424.PC07578.E03","SC249429.PC04924.G07","SC249429.PC04925.G03","SC249429.PC07578.G03","SC249430.PC04924.H07","SC249430.PC04925.H03","SC249430.PC07578.H03","SC249435.PC04924.D08","SC249435.PC04925.D04","SC249440.PC04924.A09","SC249440.PC04925.G04","SC249441.PC04924.B09","SC249441.PC04925.H04","SC249441.PC07578.H04","SC249445.PC04924.E09","SC249445.PC04925.B05","SC249448.PC04924.H09","SC249448.PC04925.A11","SC249448.PC04925.D05","SC249448.PC07578.D05","SC249449.PC04924.A10","SC249449.PC04925.E05","SC249453.PC04924.E10","SC249453.PC04925.F05","SC249453.PC07578.F05","SC253183.PC04925.A06","SC253183.PC07578.D08","SC253184.PC04925.B06","SC253184.PC07578.G06","SC253188.PC04925.E06","SC253190.PC04925.G06","SC253190.PC04925.H06","SC253197.PC04925.G07","SC253197.PC04925.H07","SC253199.PC04925.A08","SC253199.PC04925.B08","SC253199.PC04925.E11","SC253201.PC04925.D08","SC253201.PC04925.E08","SC253201.PC07578.E08","SC253203.PC04925.G08","SC253203.PC04925.H08","SC253849.PC04924.D11","SC253849.PC07578.F09","SC261515.PC07578.H11","SC261517.PC07578.F01","SC261523.PC04925.G10","SC261523.PC07578.G10","SC261526.PC04925.C11","SC261526.PC07578.C11","SC261527.PC04925.B10","SC261531.PC04925.G11","SC261531.PC07578.G11","SC261532.PC04925.D11","SC261532.PC07578.D11","SC304095.PC07578.A06","SC304096.PC07578.A07","SC304098.PC07578.A08","SC304925.PC07578.D.07.PC07578.D07","SC304929.PC07578.B04","SC304931.PC07578.B06","SC304935.PC07578.B.10.PC07578.B10","SC304941.PC07578.C04"
"Atopobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Azospirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Bacillus",0,0,0,0.00013257117902568,0.000262684371593312,0.000166923233859451,0,0,0.00135692291634048,0,0,0,0,0,0,0,0,6.27305347150779e-05,9.55201069825198e-05,0,0,0,0,0,0.000417362270450751,0,0,0,0,0,0,0.00110408765276022,0,7.52410063484599e-05,0.000166889185580774,0,0,0,0,0,0,0,0,0,0.000368677901640617,0,0,NA,0.000250891324442097,0.000197040248063302,0,0,0,0,0,0,0,0.000140279283300389,0.000119484195917317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000146628999305956,0,0,0,0,0,0,0.000113468739362306,0,0,0,0,0,0,0,0.000100527770796683,0,0,0,0,0,0,0,0,0,6.31559003399893e-05,0,0,0,0,0,0,0,NA,NA,0,9.00754832549677e-05,0,0,0.000116754232340922,0,5.45082898024074e-05,0,0,0,0,0.000311784478978906,0,0,0,0,0.000250760116603454,NA
"Bacteroides",0.468457198613943,0.480521084151386,0.556461377028009,0.576520864364087,0.470205025152029,0.523471261383237,0.483207544752117,0.444260707051928,0.612694187846842,0.507606284239598,0.396038776533512,0.403438051770663,0.441221344372856,0.503560076901525,0.343191684755385,0.362254236923143,0.332864159374785,0.278736857952977,0.308131945107779,0.236711443325028,0.236253943540787,0.262346682894585,0.279958182689376,0.268455116015246,0.273320116861436,0.183075608050354,0.155482076313441,0.262026466746181,0.239116629543624,0.244088314620837,0.21619101564202,0.242553729456384,0.20851643606916,0.207843874911827,0.223596374112852,0.40825311997085,0.414913336773109,0.358347093530779,0.36127761942947,0.400006407278669,0.44688083496912,0.482598445209862,0.501770073151426,0.498561176326087,0.343646612529227,0.423329016440442,0,NA,0.226607685197412,0.233471952876269,0.275914036210492,0.263235826395972,0.199211643420255,0.217348765329153,0.235341233009023,0.175687396998872,0.189845176822182,0.193241089077345,0.176432201909909,0.183139684998709,0.192585478799679,0.146249719837457,0.135092716386677,0.106546398225273,0.10563721531255,0.201211531180702,0.217675644195794,0.2288270023184,0.105414233396021,0.118512687534729,0.124269729676206,0.0233057034391356,0.020482421263163,0.0259960752320684,0.0354896532705423,0.033291111089624,0.0488283972677388,0.0466671228457756,0.0293028271367622,0.0302924751963505,0.0342086600212758,0.0298964245337962,0.0334165608385889,0.0664874631926475,0.0659658621192719,0.0612081814427066,0.0661002846507554,0.0381559042776168,0.036135210345392,0.0448244963881545,0.0438145394465097,0.0453535126495342,0.0699840831029572,0.0784259957496401,0.0924707562194519,0.095745999150262,0.160318967153978,0.0790484694086519,0.080943460666715,0.055523613963039,0.0577014979483546,0.0940696753055973,0.0992389714009031,0.0983579689212583,0.10747581182185,0.0958045760655875,0.101402009296746,0.0822643740902474,0.0795943376294105,0,NA,NA,0.22038205174043,0.131483182907276,0.13826105048136,0.186159960899676,0.189590911132067,0.213070286068905,0.0432250738133091,0.0465019781916433,0.0344970385708095,0.0385936407387602,0.404303949483797,0.224777122813855,0.139523372785372,0,0.153357382963024,0.15675131285519,0.286451639866679,NA
"Basidiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Bergeyella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Bifidobacterium",0,0,0,0,0,4.63675649609585e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44733112895607e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3.11306657811722e-05,0,0,0,0,0,0,0,0,0,2.86415321310255e-05,0,0,0,0,0,0.000120484830959782,9.92216611911009e-05,0,6.7684512816546e-05,0,3.91010664815883e-05,0,0,0,0,4.30487096149293e-05,0,1.62098199089008e-05,0,0,0,0.000102308070060566,0,4.13052457662123e-05,9.98976049549212e-05,5.02638853983413e-05,0,0,0,0,0,0,0,3.2958159616367e-05,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,5.14170540084735e-05,0,0,0,0,0,0,0,NA
"Bilophila",0.001413577853113,0.0019668545321444,0.00205251202103248,0.00202755920862804,0.00283699121320777,0.00239256635198546,0.00169141861329301,0.00208416912102858,0.000652366786702155,0.00110924978494137,0.00376065518970416,0.00389779125162408,0.00359561917533988,0.00484015882676869,0.00396560360661212,0.00464069599672675,0.00368121105938167,0.0042656763606253,0.00466456522431305,0.0016971797927274,0.0019461629860286,0.00305322687259335,0.00238707148146535,0.0025953463318289,0.00313021702838063,0.00215634470432823,0.00172151367238755,0.00248007421290774,0.000890953035401166,0.000784043153735182,0.00176898610082349,0.00206489675516224,0.00294563527854004,0.00303785563131907,0.00296887077506851,0.0028340367817488,0.00301935829081389,0.00326037799350028,0.00300111946519734,0.00278716622082686,0.00165972454956033,0.0021647867203043,0.00568858889942331,0.00459721710445509,0.00282329656256367,0.00383577353118543,0,NA,0.00184867291694177,0.00163854522073693,0.00162059497512335,0.00210588661116778,0.00245413887204366,0.00194567670635847,0.00288581592028081,0.00237444704657819,0.00266686036858708,0.00256328508576165,0.00221505317046718,0.00207849212496773,0.00194703537552787,0.00148120718385484,0.00132728787614563,0.0017579841781424,0.00211135980801624,0.00205527611011953,0.00233905845736708,0.00268446296661317,0.00267247352271602,0.00210224115576959,0.00204640723503977,0.00105577644495361,0.00122894527578978,0.00114656141820828,0.0014424963672426,0.0017211204687636,0.00262327491160704,0.00207235652352418,0.00126588213230813,0.00161799570781694,0.00134943461644537,0.00175861320787037,0.00195871628747928,0.0030115106629785,0.00288534794378434,0.00254996677860183,0.00275016422158966,0.00148541017369275,0.00195408413815682,0.00243370908326604,0.00193102023957043,0.00259733772882795,0.00458239088548211,0.00552350919115847,0.00448130045581855,0.00485058773544824,0.00491741029048794,0.00430875594911408,0.003694772466183,0.00337668263746293,0.00299095298518531,0.00316948745114449,0.0035051524688694,0.00409739508107721,0.00289866426417016,0.00311205922951437,0.0033363322837007,0.00430995269286754,0.00332981195858863,0,NA,NA,0.00168552238424803,0.00292745320578645,0.00329102910858505,0.00239766135799851,0.00231712245722754,0.00247232398454547,0.00151714739950034,0.00147640644600984,0.00129050898059421,0.00140882727983217,0.00106533403064288,0.00277683051590588,0.00230015577004265,0,0.00231614331392965,0.00192175280298437,0.0010866271719483,NA
"Blautia",0.0162498905415379,0.0161140952028153,0.012476505655939,0.00886667238542341,0.00983752971616954,0.0069273142051672,0.0128265911508053,0.0120255579800194,0.00255727780387245,0.00415402725585186,0.00594392445261574,0.00564124773739326,0.00727869935764749,0.00662744302427808,0.0127629821339122,0.0141697353403536,0.0132188942586887,0.01289739793742,0.014861336644697,0.109919474235366,0.104621624943664,0.0921528921717781,0.0963540532299517,0.0998392191108898,0.100966889259878,0.0727037842878235,0.0792211200335905,0.084625433066394,0.0662717406757974,0.087514896819921,0.114164960132456,0.119595448798989,0.125798775690353,0.125708911356689,0.132580282481906,0.0155467160598791,0.0155936478816717,0.0208664191584018,0.0154899049645503,0.0167390155216326,0.0153444726384833,0.0152323859104812,0.00495794445362582,0.00636065343650752,0.0230617729526249,0.0591875673484721,0.6,NA,0.0168097187376205,0.0126520580335383,0.0158240260946758,0.0138418172046549,0.0156439508793208,0.0150206241730874,0.0228980659143914,0.0306618093503339,0.0319400630914827,0.0298667346808646,0.0268196064374408,0.0227601342628453,0.0212595213976557,0.0369132421871193,0.0486349280164312,0.0522267799589804,0.0502457484366707,0.0274649791768078,0.0235051507021949,0.022630210533232,0.0377313669207166,0.0437117984812002,0.0431065782090636,0.0578206078576724,0.047567411262922,0.0492139439507861,0.0421399857871681,0.0381643960124153,0.0275507229847039,0.0268526574062308,0.0370856580242862,0.0416746255575905,0.0420787203025886,0.0204981214813461,0.0177253061839471,0.00663647720174891,0.00827511306349387,0.00742543142923842,0.00647252025399606,0.012466509923998,0.010476346374202,0.0180426341582132,0.0163981825691863,0.0131240478509528,0.0149702605344726,0.0150427484354954,0.0183865121643144,0.0148527120804419,0.0135845832542244,0.0167107645174767,0.0183600178011447,0.0164088523842117,0.0205906102203253,0.0146633309888623,0.0154310916497374,0.0135726212060682,0.0149927533393396,0.0149328648512988,0.0155383115909432,0.0184793486171761,0.0152545953940418,0,NA,NA,0.0181065965216947,0.0172224323983498,0.0154621626222315,0.0267431459161372,0.0258026853473438,0.0204992693131544,0.0276720417896888,0.025697191932838,0.0308277555737468,0.029945292254535,0.0151277432351289,0.0174599308228187,0.0207232388522514,0,0.0281319176846766,0.035680886267175,0.0181174184245996,NA
"Bradyrhizobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91898063748537e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Brevundimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Bryobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Butyricimonas",0.000150114462277487,0.000264599264414045,0.000334398025898551,0.000218352530159943,0.000275818590172978,0.00038021403267986,0,0.000185911799528371,0.000313136057617035,0,0.000177586495069363,0.000333144551420862,0.000272100910566261,0.000299490865528601,0,0.000333785558929302,0,0.000163099390259203,0,0,9.21866677592494e-05,0.000115414074221742,0.000148102975127412,0.000122421996784382,0.00013042570951586,0,0,0,0.000104260461589498,0,6.97137379634874e-05,0.000134850400337126,0,0.000131671761109805,0.000158105544234418,0,0.000181543694700835,0,0.000285820901447365,0.000144163770042769,0.00011171222929733,0.000131464780585281,0.000321831482077466,0.000289519397799653,0.000135828700604438,0.000207606299368284,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Campylobacter",0,0,0,0,0,1.85470259843834e-05,0,3.91393262164992e-05,0,3.39566260696337e-05,5.22313220792245e-05,0,5.83073379784846e-05,3.86439826488518e-05,0,0,0,2.50922138860312e-05,2.388002674563e-05,0,2.04859261687221e-05,0,0,2.44843993568764e-05,0,0,0,0,0,0,2.61426517363078e-05,0,0,0,0,0,0,0,0,1.60181966714187e-05,0,0,0,0,0,1.97720285112651e-05,0,NA,0,0,0,0,1.89508793208005e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Candidatus Planktophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Capnocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,1.94357793261615e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Christensenella",7.50572311387433e-05,3.52799019218727e-05,0,0.000163764397619957,0,0.000139102694882876,0,0.000166342136420122,0,0.000113188753565446,0,6.66289102841723e-05,0,2.89829869866388e-05,3.13073968943062e-05,5.38363804724681e-05,3.93712412768094e-05,0,7.16400802368899e-05,0,0.000174130372434138,0,6.96955177070175e-05,0.000179552261950427,0.00013042570951586,0.000116559173206931,0.00010497034587729,0.000151454913765358,9.47822378086347e-05,4.70425892241109e-05,9.58563896997952e-05,0.000109565950273915,0.000105543935061695,4.70256289677874e-05,1.75672826927131e-05,0,9.55493130004395e-05,0,0.000142910450723683,9.61091800285124e-05,0.000183527233845614,0.000166522055408023,0,0.000105279781018055,9.70205004317412e-05,0,0,NA,0.00139970949425591,0.00173188007508271,0.00108383740374492,0.00151360600177684,0.00130761067313523,0.00167884104377217,0.000329807533746378,0.000509584525977969,0.000321683546405446,0.000369827201428298,0.000615803163573864,0.000413116447198554,0.000697249154749845,0.000341067443650786,0.000310023445523068,0.000251140596877485,0.000161524794055888,0.000411055222023906,0.00043917015934239,0.000300359492767907,0.000158368801346135,0.000324134098907205,0.000121024083792675,0.000325718264932498,0.000445793874551194,0.000209467951403435,0.000403050455553081,0.000473791589715822,0.000253456513198748,0.000508313864260648,0.000621219935299358,0.000528095821301363,0.000453094834718884,0.00036542612111592,0.000290578789900773,0.000479610957437316,0.000461979867403673,0.000493831594447537,0.000507992117363696,0.000546776751052545,0.000337616631199869,0.000287620164385986,0.000485336637752995,0.000524462426013336,0.00101365502219988,0.00147881185791654,0.000867702784337416,0.000982509559552471,0.000806910955002848,0.000843729777107891,0.000817610713805202,0.00109514031485284,0.00124417052551786,0.00124642764932648,0.000989442438659832,0.00112678364729623,0.000783422774100043,0.000828209311080437,0.00108711950817214,0.000784661572052402,0.000608493555884217,0,NA,NA,0.000842761192124014,0.000702588769388748,0.000652531633598759,0.000387314527061297,0.000511922403340967,0.000580545712970192,0.000545082898024074,0.000550033774003667,0.000548947849954254,0.000329069145654231,0.000116218257888314,0.000506649778340722,0.000917150718434729,0,0.00071738952201361,0.000709095954042361,0.000292553469370697,NA
"Clostridium sensu stricto 1",0,0,0,0,0,0,5.12551094937277e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000456523428393815,0.000367396210570514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011171222929733,6.13502309397979e-05,0,4.38665754241898e-05,4.85102502158706e-05,0,0,NA,0.000831902812623795,0.000622232362305164,0.000794814096079605,0.000888420914086407,0.000587477258944815,0.00057814393560366,0.00381634431906523,0.00174559805707347,0.00154615640046488,0.00167059873748645,0.00235291955037178,0.00189775367931836,0.00197334666438635,0.00200742552548748,0.00138541727218121,0.00160102130509397,0.00212289729330595,0.00149277949050787,0.00164211450884546,0.00164259097607449,0.00190042561615362,0.00162067049453603,0.00155130871043338,0.00154996967450637,0.00139762403913347,0.00188521156263092,0.000954593184204665,0.00121832123069783,0.00120391843769405,0.00073314499652978,0.000937690468376389,0.00105619164260273,0.00113273708679721,0.0014959631833183,0.0014313695946964,0.000646917105380566,0.000664602616264933,0.000529746619498267,0.000691920297788483,0.00122113474401735,0.00114585038467834,0.00116154297155879,0.0010119785212722,0.00102395045078794,0.000896372622937086,0.000577813904748847,0.000307540227360097,0.000566491998300524,0.00112967533700399,0.000745431162299205,0.000476077124494168,0.00103125712981976,0.000774516750984625,0.000783468808148076,0.00106312432238982,0.000880939942431599,0.00114575580712131,0.00109591333082361,0.00142450142450142,0.000477620087336245,0.00032114937671667,0,NA,NA,0.000804453865209286,0.00150426057035796,0.00150365985133627,0.00204723392875257,0.00231712245722754,0.00238223930494665,0.000863047921871451,0.000858824664672392,0.00134829296479992,0.00146024433384065,0.000871636934162357,0.000526136308276904,0.00107000917150718,0,0.000471427400180372,0.00126404061372769,0.00087766040811209,NA
"Collinsella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153644446265416,4.19687542624516e-05,0,0,0,0.00118501826093714,0.00354799769065239,0.000170386777986028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82123002590447e-05,3.95440570225302e-05,0,NA,0,9.33348543457745e-05,0,0,0.000132656155245603,0.000200126746939729,0,0.000932431260300113,0.00213763905030716,0.00117324491487598,0.000624994255567504,0.00105861089594629,0.000420980621735756,0,0.00115289968803891,0.000931313046754008,0.00194983501396036,0.000227162096381632,0.000735132658029654,0.000366063131810886,0.00160348411362961,0.00206519725875162,0.000968192670341398,0.0012467147381899,0.0023253572375238,0.00112451216016581,0.000678821819878873,0.00156641301089721,0.000494240200737558,0.00109482986148447,0,0.00123596894347127,0.000600843150388086,0.000376845687400793,0.00125917475623668,0,0.000421455317631421,0,0.000420407269542369,0.000309840158929776,0.000654771648387625,0.00035399404847506,0.000857083849648905,0.000599385629729527,0.000988523079500712,0.000714922288926539,0.00146081607996046,0.0011241325591276,0.000560091133472565,0.0017611835153223,0.00175941546008714,0.00216290212183436,0.00192805233755747,0.00133545819570695,0.00165257939222972,0.00157749710621472,0.0018802146578401,0.00166478437277785,0.000946543709701604,0.00255867903930131,0.00282273399535179,0,NA,NA,0,0.000693581221063251,0.000236424504927087,0.000774629054122594,0.000601733351295523,0.00082077152523372,0.000981149216443334,0.00045353662066969,0.0014253382770742,0,0,0.000185122034393725,0.000232927166586598,0,0,0.000174704800271306,0.000114931720109917,NA
"Coprobacillus",0,0,0,0,0,7.41881039375336e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11976995204588e-05,0,0,0,0,0,0,4.54876273653566e-05,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Coprococcus",0.000587948310586822,0.000917277449968689,0.000242150294616192,0.000662855895128399,0.000341489683071306,0.000565684292523694,0.00105072974462142,0.00101762248162898,0,0.000282971883913614,0.000208925288316898,4.44192735227815e-05,7.77431173046461e-05,0.000115931947946555,6.26147937886125e-05,0.000656803841764111,0,0,0.00019900022288025,0.00111941645903297,0.00104478223460483,0.00135349232496406,0.000923465609617981,0.00098753744072735,0.000991235392320534,0.011675343849561,0.0108119456253608,0.00102232066791617,0.000284346713425904,0.00034497898764348,0.000444425079517232,0.000539401601348504,0.000681238126307306,0.000686574182929697,0.000895931417328368,0.000374497717588235,0.000535076152802461,0.000631040901967796,0.000484307638563591,0.000776882538563808,0.00221828569604698,0.00262053129299994,0,0.00173711638679792,0.00725713343229424,0.00223423922177296,0,NA,0.0141555526211541,0.0135957771163678,0.0154111356551539,0.0153663913658649,0.0135025015160703,0.0113405156599179,0.0201771537609838,0.0321471940324399,0.0264610659139963,0.0269208697315565,0.0211027472173969,0.0178027368964627,0.017746964335048,0.0226468782584122,0.022031041097483,0.0306077602444435,0.0298013245033113,0.0170804261993618,0.0164306922658316,0.0169984700438337,0.0306641591606454,0.0288386738284868,0.0287817275637852,0.050396477750073,0.0495554109737584,0.0524772341410712,0.0530965942236506,0.0479689811546978,0.0615265685789961,0.0618774377071135,0.0630479628674575,0.0602029236283554,0.06463496316142,0.0717148762689993,0.0649174540993134,0.0682274471312573,0.0699291630869981,0.0666223714691041,0.0695861615940442,0.0724570324603131,0.0703163365526273,0.0652676526875892,0.0639405204460967,0.0675307809495267,0.0117031079835805,0.0127804600965635,0.0166840573342852,0.0181542982580371,0.00912284032656161,0.0201102582796104,0.0202746758018277,0.0353730321697468,0.0332053458134898,0.0361909171036583,0.041040809237603,0.0417217254130686,0.0264307258412002,0.0257414146484293,0.027299820062978,0.0277247088791849,0.0298837946334249,0,NA,NA,0.0190132032586766,0.0230413086166207,0.0239261598986212,0.0196608231355878,0.0196236921280704,0.0180870017816748,0.0594957983193277,0.0617967769950786,0.0562045553040882,0.0576488009543005,0.01034342495206,0.0192137185170751,0.0260805636837431,0,0.0265946544232188,0.0257021591457963,0.0243655246633023,NA
"Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Deinococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
