"","Abundance","Genus","SampleID"
"1",0.254370411232384,"Akkermansia","SC249382.PC04924.D02"
"2",0.0700053850296177,"Alistipes","SC249382.PC04924.D02"
"3",0.00120834810932924,"Anaerosporobacter","SC249382.PC04924.D02"
"4",0.0032835546449164,"Anaerotruncus","SC249382.PC04924.D02"
"5",0.000262684371593312,"Bacillus","SC249382.PC04924.D02"
"6",0.470205025152029,"Bacteroides","SC249382.PC04924.D02"
"7",0.00283699121320777,"Bilophila","SC249382.PC04924.D02"
"8",0.00983752971616954,"Blautia","SC249382.PC04924.D02"
"9",0.000275818590172978,"Butyricimonas","SC249382.PC04924.D02"
"10",0.000341489683071306,"Coprococcus","SC249382.PC04924.D02"
"11",0.00420294994549299,"Dorea","SC249382.PC04924.D02"
"12",9.19395300576592e-05,"Enterococcus","SC249382.PC04924.D02"
"13",0.00149730091808188,"Escherichia-Shigella","SC249382.PC04924.D02"
"14",0.000604174054664618,"Faecalibacterium","SC249382.PC04924.D02"
"15",0.00225908559570248,"Flavonifractor","SC249382.PC04924.D02"
"16",0.00032835546449164,"Holdemania","SC249382.PC04924.D02"
"17",0.00153670357382088,"Incertae Sedis","SC249382.PC04924.D02"
"18",0.00263997793451279,"Intestinimonas","SC249382.PC04924.D02"
"19",0.00065671092898328,"Lactobacillus","SC249382.PC04924.D02"
"20",0.00032835546449164,"Listeria","SC249382.PC04924.D02"
"21",0.00103760326779358,"Marvinbryantia","SC249382.PC04924.D02"
"22",0.00640949866687681,"Oscillibacter","SC249382.PC04924.D02"
"23",0.000354623901650971,"Oscillospira","SC249382.PC04924.D02"
"24",0.0305895950720412,"other","SC249382.PC04924.D02"
"25",0.00832709457950799,"Parabacteroides","SC249382.PC04924.D02"
"26",0.00355937323508938,"Parasutterella","SC249382.PC04924.D02"
"27",2.62684371593312e-05,"Pediococcus","SC249382.PC04924.D02"
"28",0.00323101777059774,"Pseudobutyrivibrio","SC249382.PC04924.D02"
"29",0.000380892338810302,"Pyramidobacter","SC249382.PC04924.D02"
"30",0.000170744841535653,"Ralstonia","SC249382.PC04924.D02"
"31",0.012490641869262,"Ruminococcus","SC249382.PC04924.D02"
"32",0.000183879060115318,"Staphylococcus","SC249382.PC04924.D02"
"33",0.00183879060115318,"Subdoligranulum","SC249382.PC04924.D02"
"34",0.012845265770913,"Succiniclasticum","SC249382.PC04924.D02"
"35",0.0917819194347032,"uncultured","SC249382.PC04924.D02"
"36",0.188827271547007,"Akkermansia","SC249382.PC07578.H05"
"37",0.0742251979895024,"Alistipes","SC249382.PC07578.H05"
"38",0.00049149618858616,"Anaerofilum","SC249382.PC07578.H05"
"39",5.56410779531502e-05,"Anaerofustis","SC249382.PC07578.H05"
"40",0.00076042806535972,"Anaerosporobacter","SC249382.PC07578.H05"
"41",0.000102008642914109,"Anaerostipes","SC249382.PC07578.H05"
"42",0.0038021403267986,"Anaerotruncus","SC249382.PC07578.H05"
"43",0.000166923233859451,"Bacillus","SC249382.PC07578.H05"
"44",0.523471261383237,"Bacteroides","SC249382.PC07578.H05"
"45",4.63675649609585e-05,"Bifidobacterium","SC249382.PC07578.H05"
"46",0.00239256635198546,"Bilophila","SC249382.PC07578.H05"
"47",0.0069273142051672,"Blautia","SC249382.PC07578.H05"
"48",0.00038021403267986,"Butyricimonas","SC249382.PC07578.H05"
"49",1.85470259843834e-05,"Campylobacter","SC249382.PC07578.H05"
"50",0.000139102694882876,"Christensenella","SC249382.PC07578.H05"
"51",7.41881039375336e-05,"Coprobacillus","SC249382.PC07578.H05"
"52",0.000565684292523694,"Coprococcus","SC249382.PC07578.H05"
"53",0.00373722573585326,"Dorea","SC249382.PC07578.H05"
"54",0.000176196746851642,"Enterococcus","SC249382.PC07578.H05"
"55",0.00121483020197711,"Escherichia-Shigella","SC249382.PC07578.H05"
"56",0.000510043214570544,"Faecalibacterium","SC249382.PC07578.H05"
"57",0.00343119980711093,"Flavonifractor","SC249382.PC07578.H05"
"58",0.00038021403267986,"Holdemania","SC249382.PC07578.H05"
"59",0.00160431774764916,"Incertae Sedis","SC249382.PC07578.H05"
"60",0.00398761058664243,"Intestinimonas","SC249382.PC07578.H05"
"61",0.000454402136617393,"Lactobacillus","SC249382.PC07578.H05"
"62",0.000194743772836026,"Listeria","SC249382.PC07578.H05"
"63",0.000602778344492461,"Marvinbryantia","SC249382.PC07578.H05"
"64",0.0124357809225291,"Oscillibacter","SC249382.PC07578.H05"
"65",0.000658419422445611,"Oscillospira","SC249382.PC07578.H05"
"66",0.0304727636923419,"other","SC249382.PC07578.H05"
"67",0.00578667210712762,"Parabacteroides","SC249382.PC07578.H05"
"68",0.00362594357994696,"Parasutterella","SC249382.PC07578.H05"
"69",0.00274495984568874,"Pseudobutyrivibrio","SC249382.PC07578.H05"
"70",0.000537863753547119,"Pyramidobacter","SC249382.PC07578.H05"
"71",8.34616169297253e-05,"Ralstonia","SC249382.PC07578.H05"
"72",0.0108963777658252,"Ruminococcus","SC249382.PC07578.H05"
"73",0.000204017285828217,"Staphylococcus","SC249382.PC07578.H05"
"74",0.00155795018268821,"Subdoligranulum","SC249382.PC07578.H05"
"75",0.012769627390248,"Succiniclasticum","SC249382.PC07578.H05"
"76",0.000102008642914109,"Thalassospira","SC249382.PC07578.H05"
"77",0.0993842387373185,"uncultured","SC249382.PC07578.H05"
"78",0.253469330223857,"Akkermansia","SC249385.PC04924.G02"
"79",0.0702707551159006,"Alistipes","SC249385.PC04924.G02"
"80",0.00103791596724798,"Anaerosporobacter","SC249385.PC04924.G02"
"81",0.000217834215348343,"Anaerostipes","SC249385.PC04924.G02"
"82",0.00260119680680668,"Anaerotruncus","SC249385.PC04924.G02"
"83",0.483207544752117,"Bacteroides","SC249385.PC04924.G02"
"84",0.00169141861329301,"Bilophila","SC249385.PC04924.G02"
"85",0.0128265911508053,"Blautia","SC249385.PC04924.G02"
"86",5.12551094937277e-05,"Clostridium sensu stricto 1","SC249385.PC04924.G02"
"87",0.00105072974462142,"Coprococcus","SC249385.PC04924.G02"
"88",0.00390820209889673,"Dorea","SC249385.PC04924.G02"
"89",0.000704757755538755,"Escherichia-Shigella","SC249385.PC04924.G02"
"90",0.00302405146012993,"Faecalibacterium","SC249385.PC04924.G02"
"91",0.00161453594905242,"Flavonifractor","SC249385.PC04924.G02"
"92",0.000205020437974911,"Holdemania","SC249385.PC04924.G02"
"93",0.00160172217167899,"Incertae Sedis","SC249385.PC04924.G02"
"94",0.00253712791993952,"Intestinimonas","SC249385.PC04924.G02"
"95",0.000294716879588934,"Lachnospira","SC249385.PC04924.G02"
"96",0.000781640419779347,"Marvinbryantia","SC249385.PC04924.G02"
"97",8.96964416140234e-05,"Neisseria","SC249385.PC04924.G02"
"98",0.00489486295665099,"Oscillibacter","SC249385.PC04924.G02"
"99",0.000384413321202957,"Oscillospira","SC249385.PC04924.G02"
"100",0.0262041747286683,"other","SC249385.PC04924.G02"
"101",0.00506144206250561,"Parabacteroides","SC249385.PC04924.G02"
"102",0.00233210748196461,"Parasutterella","SC249385.PC04924.G02"
"103",0.000397227098576389,"Phascolarctobacterium","SC249385.PC04924.G02"
"104",0.00369036788354839,"Pseudobutyrivibrio","SC249385.PC04924.G02"
"105",0.000371599543829525,"Pyramidobacter","SC249385.PC04924.G02"
"106",0.000115323996360887,"Roseburia","SC249385.PC04924.G02"
"107",0.0150305608590356,"Ruminococcus","SC249385.PC04924.G02"
"108",0.00234492125933804,"Subdoligranulum","SC249385.PC04924.G02"
"109",0.00918747837675068,"Succiniclasticum","SC249385.PC04924.G02"
"110",0.0887994771978832,"uncultured","SC249385.PC04924.G02"
"111",0.261411559799998,"Akkermansia","SC249385.PC07578.C07"
"112",0.0727110832787014,"Alistipes","SC249385.PC07578.C07"
"113",0.000205481462636621,"Anaerofilum","SC249385.PC07578.C07"
"114",0.00125245843892797,"Anaerosporobacter","SC249385.PC07578.C07"
"115",0.00022505112574487,"Anaerostipes","SC249385.PC07578.C07"
